Sport,Home,Away,Date/Time,Score,Status,ScrapedAt
,Football,Comstock Park,Howard City Tri County,24-42,Processed,2025-02-01T18:16:59.229523
,Football,Detroit Cody,Detroit Community,32-20,Processed,2025-02-01T18:16:59.269033
,Football,Detroit Leadership Academy,Redford Westfield Prep,0-1 Forfeit,Processed,2025-02-01T18:16:59.307033
,Football,"Xenith Prep Kickoff Classic
Detroit Martin Luther King",Cleveland Heights (OH),25-21,Processed,2025-02-01T18:16:59.347549
,Football,Detroit Northwestern,Allen Park Cabrini,0-51,Processed,2025-02-01T18:16:59.389550
,Football,Detroit Old Redford,Dearborn Advanced Tech Academy,18-8,Processed,2025-02-01T18:16:59.428555
,Football,Ecorse,Hamtramck,42-6,Processed,2025-02-01T18:16:59.468065
,Football,Edgerton (OH),West Unity Hilltop (OH),69-14,Processed,2025-02-01T18:16:59.507065
,Football,Edon (OH),Antwerp (OH),55-6,Processed,2025-02-01T18:16:59.545582
,Football,Grand Rapids Catholic Central,St John Lake Central (IN),17-10,Processed,2025-02-01T18:16:59.585899
,Football,Grand Rapids South Christian,Grand Rapids Christian,42-27,Processed,2025-02-01T18:16:59.626903
,Football,Hammond Morton (IN),Chesterton (IN),23-36,Processed,2025-02-01T18:16:59.667417
,Football,Harper Woods Chandler Park,Detroit Pershing,0-20,Processed,2025-02-01T18:16:59.706415
,Football,Hurricane (WV),Huntington (WV),35-38,Processed,2025-02-01T18:16:59.744935
,Football,Ida,Grosse Ile,48-6,Processed,2025-02-01T18:16:59.785934
,Football,LaGrange Prairie Heights (IN),Bronson,24-0,Processed,2025-02-01T18:16:59.827941
,Football,Livonia Franklin,Dexter,26-27 (OT),Processed,2025-02-01T18:16:59.870060
,Football,Lucas (OH),Jeromesville Hillsdale (OH),8-26,Processed,2025-02-01T18:16:59.912061
,Football,Marine City,Armada,27-28,Processed,2025-02-01T18:16:59.955743
,Football,Medina (OH),Lewis Center Olentangy (OH),14-38,Processed,2025-02-01T18:16:59.997741
,Football,Menominee,Marinette (WI),49-6,Processed,2025-02-01T18:17:00.045255
,Football,Mentor (OH),Cleveland St Ignatius (OH),20-14,Processed,2025-02-01T18:17:00.091255
,Football,Milan,Ypsilanti Lincoln,7-10,Processed,2025-02-01T18:17:00.133570
,Football,Millbury Lake (OH),Northwood (OH),35-0,Processed,2025-02-01T18:17:00.175081
,Football,Monroe,Jackson,27-32,Processed,2025-02-01T18:17:00.216083
,Football,Monroe Jefferson,Hanover-Horton,0-54,Processed,2025-02-01T18:17:00.257598
,Football,Morral Ridgedale (OH),Marion Elgin (OH),8-27,Processed,2025-02-01T18:17:00.297598
,Football,Morris (IL),Coal City (IL),31-12,Processed,2025-02-01T18:17:00.338605
,Football,Mount Clemens,Southfield Bradford Academy,24-0,Processed,2025-02-01T18:17:00.384907
,Football,Muskegon,Zeeland West,13-28,Processed,2025-02-01T18:17:00.428174
,Football,Paulding (OH),Pioneer North Central (OH),58-0,Processed,2025-02-01T18:17:00.472861
,Football,Petoskey,Greenville,8-6,Processed,2025-02-01T18:17:00.525869
